Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Selling Price,Tax 5%,Date,Time,Payment,Rating
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,16.97,1.616,07/03/2019,11:49,Ewallet,6.5
399-46-5918,B,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,90.28,34.392,02/28/2019,19:01,Cash,8.2
106-35-6779,C,Yangon,Member,Male,Home and lifestyle,44.34,2,46.56,4.434,03/27/2019,11:26,Cash,5.8
635-40-6220,C,Yangon,Normal,Male,Health and beauty,89.6,8,94.08,35.84,07/02/2019,11:28,Ewallet,6.6
817-48-8732,C,Yangon,Member,Female,Home and lifestyle,72.35,10,75.97,36.175,01/20/2019,15:55,Cash,5.4
120-06-4233,B,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,32.14,9.183,12/03/2019,20:36,Cash,9.3
285-68-5083,B,Naypyitaw,Member,Female,Sports and travel,24.74,3,25.98,3.711,02/15/2019,17:47,Credit card,10
803-83-5989,B,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,58.52,16.719,02/24/2019,10:55,Ewallet,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,57.82,24.7815,03/02/2019,13:40,Ewallet,10
199-75-8169,C,Yangon,Member,Male,Sports and travel,15.81,10,16.6,7.905,06/03/2019,12:27,Credit card,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,79.53,15.148,02/14/2019,14:35,Cash,7.6
877-22-3308,C,Yangon,Member,Male,Health and beauty,15.87,10,16.66,7.935,03/13/2019,16:40,Cash,5.8
838-78-4295,B,Naypyitaw,Normal,Female,Health and beauty,33.47,2,35.14,3.347,10/02/2019,15:43,Ewallet,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,102.49,29.283,07/01/2019,15:01,Ewallet,9.9
232-11-3025,C,Yangon,Normal,Male,Sports and travel,78.77,10,82.71,39.385,01/24/2019,10:04,Cash,6.4
382-03-4532,C,Yangon,Member,Female,Health and beauty,18.33,1,19.25,0.9165,02/02/2019,18:50,Cash,4.3
393-65-2792,B,Naypyitaw,Normal,Male,Food and beverages,89.48,10,93.95,44.74,06/01/2019,12:46,Credit card,9.6
796-12-2025,B,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,65.23,31.06,11/02/2019,16:19,Cash,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,50.95,7.278,05/03/2019,18:17,Ewallet,4
841-35-6630,B,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,79.71,22.773,09/03/2019,18:21,Cash,8.7
287-21-9091,C,Yangon,Normal,Male,Home and lifestyle,74.67,9,78.4,33.6015,01/22/2019,10:55,Ewallet,9.4
732-94-0499,B,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,43.73,20.825,01/13/2019,17:04,Credit card,5.4
263-10-3913,B,Naypyitaw,Member,Male,Fashion accessories,49.04,9,51.49,22.068,09/01/2019,14:20,Credit card,8.6
381-20-0914,C,Yangon,Member,Female,Fashion accessories,20.01,9,21.01,9.0045,12/01/2019,15:48,Credit card,5.7
829-49-1914,B,Naypyitaw,Member,Female,Food and beverages,78.31,10,82.23,39.155,05/03/2019,16:24,Ewallet,6.6
756-01-7507,B,Naypyitaw,Normal,Female,Health and beauty,20.38,5,21.4,5.095,01/22/2019,18:56,Cash,6
870-72-4431,B,Naypyitaw,Normal,Female,Health and beauty,99.19,6,104.15,29.757,01/21/2019,14:42,Credit card,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,101.51,14.502,01/26/2019,19:56,Ewallet,6.4
480-63-2856,B,Naypyitaw,Normal,Male,Food and beverages,19.25,8,20.21,7.7,01/23/2019,18:37,Ewallet,6.6
787-56-0757,B,Naypyitaw,Member,Female,Food and beverages,80.36,4,84.38,16.072,02/23/2019,18:45,Credit card,8.3
360-39-5055,B,Naypyitaw,Member,Male,Sports and travel,48.91,5,51.36,12.2275,09/03/2019,10:17,Cash,6.6
730-50-9884,B,Naypyitaw,Normal,Female,Sports and travel,83.06,7,87.21,29.071,05/03/2019,14:31,Ewallet,4
362-58-8315,B,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,80.35,19.13,03/25/2019,10:23,Cash,9.9
633-44-8566,C,Yangon,Member,Male,Food and beverages,49.38,7,51.85,17.283,03/27/2019,20:35,Credit card,7.3
504-35-8843,C,Yangon,Normal,Male,Sports and travel,42.47,1,44.59,2.1235,02/01/2019,16:57,Cash,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,80.84,23.097,02/27/2019,17:55,Cash,6.1
565-80-5980,B,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,49.75,9.476,01/23/2019,10:25,Cash,7.1
225-32-0908,B,Naypyitaw,Normal,Female,Sports and travel,44.86,10,47.1,22.43,01/26/2019,19:54,Ewallet,8.2
873-51-0671,C,Yangon,Member,Female,Sports and travel,21.98,7,23.08,7.693,10/01/2019,16:42,Ewallet,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,67.58,28.962,12/03/2019,12:09,Credit card,8.6
512-91-0811,B,Naypyitaw,Normal,Male,Health and beauty,89.75,1,94.24,4.4875,06/02/2019,20:05,Credit card,6.6
594-34-4444,C,Yangon,Normal,Male,Electronic accessories,97.16,1,102.02,4.858,08/03/2019,20:38,Ewallet,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,92.26,43.935,03/29/2019,10:25,Ewallet,5.1
871-39-9221,B,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,13.07,3.735,09/02/2019,13:11,Cash,4.1
865-92-6136,C,Yangon,Normal,Male,Food and beverages,52.75,3,55.39,7.9125,03/23/2019,10:16,Ewallet,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,86.84,24.81,05/03/2019,18:14,Cash,7.4
163-56-7055,B,Naypyitaw,Member,Male,Fashion accessories,48.71,1,51.15,2.4355,03/26/2019,19:20,Cash,4.1
189-98-2939,B,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,82.48,35.3475,01/03/2019,13:22,Cash,7.2
551-21-3069,B,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,24.22,10.3815,01/02/2019,11:27,Cash,4.9
212-62-1842,C,Yangon,Normal,Male,Food and beverages,58.26,6,61.17,17.478,03/28/2019,16:44,Cash,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,31.87,10.6225,03/19/2019,18:19,Cash,8
704-48-3927,C,Yangon,Member,Male,Electronic accessories,88.67,10,93.1,44.335,12/01/2019,14:50,Ewallet,7.3
628-34-3388,B,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,28.75,8.214,05/01/2019,20:54,Credit card,7.9
630-74-5166,C,Yangon,Normal,Male,Sports and travel,62.13,6,65.24,18.639,03/22/2019,20:19,Cash,7.4
588-01-7461,B,Naypyitaw,Normal,Female,Food and beverages,33.98,9,35.68,15.291,03/24/2019,10:43,Cash,4.2
861-77-0145,B,Naypyitaw,Member,Male,Electronic accessories,81.97,10,86.07,40.985,03/03/2019,14:30,Cash,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,17.31,1.649,05/02/2019,11:32,Ewallet,4.6
210-67-5886,B,Naypyitaw,Member,Female,Health and beauty,98.21,3,103.12,14.7315,05/02/2019,10:41,Credit card,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,76.48,25.494,02/15/2019,12:44,Cash,8.4
645-44-1170,C,Yangon,Member,Male,Home and lifestyle,58.07,9,60.97,26.1315,01/19/2019,20:07,Ewallet,4.3
237-01-6122,B,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,84.83,36.3555,01/02/2019,20:31,Credit card,9.5
225-98-1496,B,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,28.37,4.053,02/03/2019,13:01,Credit card,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,23.04,5.485,05/03/2019,12:29,Ewallet,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,53.93,2.568,01/16/2019,15:26,Ewallet,5.2
642-32-2990,C,Yangon,Normal,Female,Food and beverages,10.96,10,11.51,5.48,02/02/2019,20:48,Ewallet,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,56.11,5.344,01/20/2019,20:38,Ewallet,4.1
638-60-7125,C,Yangon,Normal,Female,Electronic accessories,99.56,8,104.54,39.824,02/14/2019,17:03,Credit card,5.2
659-36-1684,B,Naypyitaw,Member,Male,Sports and travel,57.12,7,59.98,19.992,12/01/2019,12:02,Credit card,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,104.96,44.982,09/03/2019,17:26,Credit card,4.2
336-78-2147,B,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,67.11,25.564,03/13/2019,19:52,Credit card,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,59.29,22.588,09/03/2019,14:57,Ewallet,7.3
668-90-8900,C,Yangon,Normal,Female,Home and lifestyle,93.69,7,98.37,32.7915,10/03/2019,18:44,Credit card,4.5
870-54-3162,C,Yangon,Normal,Female,Sports and travel,32.25,5,33.86,8.0625,01/27/2019,13:26,Cash,9
189-08-9157,B,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,33.32,14.2785,08/01/2019,16:17,Credit card,5.9
663-86-9076,B,Naypyitaw,Member,Female,Food and beverages,68.54,8,71.97,27.416,08/01/2019,15:57,Ewallet,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,94.79,40.626,08/02/2019,11:15,Ewallet,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,41.6,13.867,01/25/2019,13:18,Cash,7.5
802-70-5316,C,Yangon,Member,Female,Sports and travel,92.13,6,96.74,27.639,06/03/2019,20:34,Cash,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,36.58,6.968,10/02/2019,18:36,Cash,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,91.82,26.235,02/17/2019,14:40,Credit card,8.8
483-71-1164,B,Naypyitaw,Normal,Female,Health and beauty,81.3,6,85.37,24.39,08/03/2019,16:43,Ewallet,5.3
597-78-7908,B,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,94.73,13.533,02/18/2019,19:39,Cash,6.2
700-81-1757,C,Yangon,Normal,Female,Electronic accessories,26.31,5,27.63,6.5775,01/18/2019,20:59,Credit card,8.8
354-39-5160,C,Yangon,Member,Female,Home and lifestyle,34.42,6,36.14,10.326,02/18/2019,15:39,Cash,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,54.51,25.955,02/16/2019,12:21,Cash,8.2
575-30-8091,C,Yangon,Normal,Male,Sports and travel,72.5,8,76.13,29,03/16/2019,19:25,Ewallet,9.2
731-81-9469,B,Naypyitaw,Member,Female,Sports and travel,89.8,10,94.29,44.9,01/23/2019,13:00,Credit card,5.4
280-17-4359,B,Naypyitaw,Member,Male,Health and beauty,90.5,10,95.03,45.25,01/25/2019,13:48,Cash,8.1
338-65-2210,B,Naypyitaw,Member,Female,Health and beauty,68.6,10,72.03,34.3,05/02/2019,19:57,Cash,9.1
488-25-4221,B,Naypyitaw,Member,Female,Food and beverages,30.41,1,31.93,1.5205,02/22/2019,10:36,Credit card,8.4
239-10-7476,C,Yangon,Normal,Female,Home and lifestyle,77.95,6,81.85,23.385,01/21/2019,16:37,Ewallet,8
458-41-1477,B,Naypyitaw,Normal,Female,Health and beauty,46.26,6,48.57,13.878,08/03/2019,17:11,Credit card,9.5
685-64-1609,C,Yangon,Member,Female,Fashion accessories,30.14,10,31.65,15.07,10/02/2019,12:28,Ewallet,9.2
568-90-5112,B,Naypyitaw,Normal,Male,Health and beauty,66.14,4,69.45,13.228,03/19/2019,12:46,Credit card,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,75.45,28.744,06/03/2019,15:07,Credit card,6.2
238-49-0436,C,Yangon,Normal,Male,Health and beauty,32.46,8,34.08,12.984,03/27/2019,13:48,Credit card,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,96.12,18.308,03/23/2019,19:20,Credit card,4.8
584-86-7256,B,Naypyitaw,Member,Male,Sports and travel,34.56,7,36.29,12.096,11/03/2019,16:07,Credit card,7.3
746-94-0204,C,Yangon,Normal,Male,Fashion accessories,83.24,9,87.4,37.458,01/29/2019,11:56,Credit card,7.4
214-17-6927,B,Naypyitaw,Normal,Female,Food and beverages,16.48,6,17.3,4.944,07/02/2019,18:23,Ewallet,9.9
400-89-4171,B,Naypyitaw,Normal,Female,Sports and travel,80.97,8,85.02,32.388,01/28/2019,13:05,Cash,9.3
782-95-9291,C,Yangon,Member,Male,Food and beverages,92.29,5,96.9,23.0725,02/20/2019,15:55,Credit card,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,75.78,3.6085,04/01/2019,19:40,Cash,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,52.79,12.57,07/03/2019,13:58,Ewallet,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,102.08,43.749,03/30/2019,14:43,Ewallet,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,98.06,28.017,03/27/2019,19:18,Ewallet,10
894-41-5205,B,Naypyitaw,Normal,Female,Food and beverages,43.18,8,45.34,17.272,01/19/2019,19:39,Credit card,8.3
275-28-0149,C,Yangon,Normal,Male,Sports and travel,63.69,1,66.87,3.1845,02/25/2019,16:21,Cash,6
101-17-6199,C,Yangon,Normal,Male,Food and beverages,45.79,7,48.08,16.0265,03/13/2019,19:44,Credit card,7
423-80-0988,B,Naypyitaw,Normal,Male,Sports and travel,76.4,2,80.22,7.64,01/30/2019,19:42,Ewallet,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,41.9,19.95,02/20/2019,15:24,Credit card,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,44.7,17.028,02/25/2019,14:12,Ewallet,5.6
234-65-2137,B,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,100.36,47.79,01/16/2019,13:32,Cash,4.8
687-47-8271,C,Yangon,Normal,Male,Fashion accessories,98.98,10,103.93,49.49,08/02/2019,16:20,Credit card,8.7
796-32-9050,C,Yangon,Normal,Male,Food and beverages,51.28,6,53.84,15.384,01/19/2019,16:31,Cash,6.5
105-31-1824,C,Yangon,Member,Male,Sports and travel,69.52,7,73,24.332,01/02/2019,15:10,Credit card,8.5
249-42-3782,C,Yangon,Normal,Male,Health and beauty,70.01,5,73.51,17.5025,03/01/2019,11:36,Ewallet,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,84.05,20.0125,01/26/2019,12:45,Credit card,9.4
733-33-4967,B,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,21.89,8.34,03/03/2019,19:17,Cash,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,55.53,15.867,01/19/2019,17:34,Credit card,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,20.78,7.916,01/18/2019,12:04,Ewallet,8.7
827-26-2100,C,Yangon,Member,Male,Home and lifestyle,33.84,9,35.53,15.228,03/21/2019,16:21,Ewallet,8.8
175-54-2529,C,Yangon,Member,Male,Food and beverages,22.17,8,23.28,8.868,03/03/2019,17:01,Credit card,9.6
139-52-2867,B,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,23.64,7.8785,02/13/2019,10:50,Credit card,4.8
407-63-8975,C,Yangon,Normal,Male,Food and beverages,73.88,6,77.57,22.164,03/23/2019,19:16,Ewallet,4.4
342-65-4817,B,Naypyitaw,Member,Male,Health and beauty,86.8,3,91.14,13.02,01/28/2019,16:47,Ewallet,9.9
130-98-8941,B,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,67.47,22.491,09/02/2019,10:00,Cash,5.7
434-83-9547,B,Naypyitaw,Member,Male,Food and beverages,38.47,8,40.39,15.388,01/23/2019,11:51,Cash,7.7
851-28-6367,C,Yangon,Member,Male,Sports and travel,15.5,10,16.28,7.75,03/23/2019,10:55,Ewallet,8
824-88-3614,B,Naypyitaw,Normal,Male,Health and beauty,34.31,8,36.03,13.724,01/25/2019,15:00,Ewallet,5.7
586-25-0848,C,Yangon,Normal,Female,Sports and travel,12.34,7,12.96,4.319,04/03/2019,11:19,Credit card,6.7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,18.98,2.712,05/03/2019,19:46,Ewallet,8
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,99.21,37.796,03/03/2019,19:00,Ewallet,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,48.79,9.294,08/02/2019,10:53,Cash,7
400-60-7251,C,Yangon,Normal,Male,Home and lifestyle,74.07,1,77.77,3.7035,10/02/2019,12:50,Ewallet,9.9
593-65-1552,B,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,73.3,13.962,01/28/2019,20:50,Credit card,5.9
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,80.89,11.556,11/02/2019,10:39,Credit card,7.2
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,77.2,7.352,01/15/2019,13:41,Ewallet,4.6
286-43-6208,B,Naypyitaw,Normal,Female,Food and beverages,87.8,9,92.19,39.51,03/16/2019,19:08,Cash,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,26.83,5.11,01/26/2019,20:23,Ewallet,5.7
831-07-6050,C,Yangon,Normal,Male,Electronic accessories,32.71,5,34.35,8.1775,03/19/2019,11:30,Credit card,9.9
556-86-3144,B,Naypyitaw,Member,Female,Fashion accessories,74.29,1,78,3.7145,01/13/2019,19:30,Cash,5
848-24-9445,B,Naypyitaw,Member,Male,Health and beauty,43.7,2,45.89,4.37,03/26/2019,18:03,Cash,4.9
856-22-8149,C,Yangon,Normal,Female,Home and lifestyle,25.29,1,26.55,1.2645,03/23/2019,10:13,Ewallet,6.1
699-01-4164,B,Naypyitaw,Normal,Male,Health and beauty,41.5,4,43.58,8.3,12/03/2019,19:58,Credit card,8.2
420-11-4919,B,Naypyitaw,Member,Female,Food and beverages,71.39,5,74.96,17.8475,02/17/2019,19:57,Credit card,5.5
606-80-4905,B,Naypyitaw,Member,Female,Sports and travel,19.15,6,20.11,5.745,01/29/2019,10:01,Credit card,6.8
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,60.36,11.498,03/15/2019,11:57,Cash,6.6
426-39-2418,B,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,64.48,21.4935,01/14/2019,10:02,Cash,9.8
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,27.2,12.95,06/02/2019,14:51,Ewallet,8.7
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,18.66,4.4425,02/15/2019,12:42,Credit card,5.4
749-24-1565,C,Yangon,Normal,Female,Health and beauty,23.03,9,24.18,10.3635,03/01/2019,12:02,Ewallet,7.9
672-51-8681,B,Naypyitaw,Member,Female,Electronic accessories,66.65,9,69.98,29.9925,04/01/2019,18:19,Credit card,9.7
263-87-5680,B,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,29.96,14.265,03/18/2019,17:38,Ewallet,7.8
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,31.89,4.5555,03/28/2019,13:41,Ewallet,5.1
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,104.72,44.8785,02/03/2019,19:42,Credit card,6.5
888-02-0338,C,Yangon,Normal,Male,Electronic accessories,26.23,9,27.54,11.8035,01/25/2019,20:24,Ewallet,5.9
677-11-0152,B,Naypyitaw,Normal,Female,Food and beverages,93.26,9,97.92,41.967,01/16/2019,18:08,Cash,8.8
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,96.98,23.09,03/20/2019,19:17,Ewallet,4.9
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,48.74,6.963,04/01/2019,13:24,Credit card,4.4
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,31.09,10.3635,11/03/2019,15:53,Cash,6.5
802-43-8934,C,Yangon,Normal,Male,Home and lifestyle,18.28,1,19.19,0.914,03/22/2019,15:05,Credit card,8.3
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,26.01,6.1925,03/24/2019,18:27,Cash,8.5
319-74-2561,C,Yangon,Member,Female,Electronic accessories,94.64,3,99.37,14.196,02/21/2019,16:55,Cash,5.5
